idx,mape,mae,rmse,dir_real,dir_pred,dir_correct,var_preds,plot
278,10.607149168815177,5916.572242667632,6859.5249881246145,1,-1,0,147699.69821088965,outputs/debug_reports\test_idx_278_dias7.png
976,0.781978552741615,181.05026104677225,201.75700064945312,-1,-1,1,16160.47315707229,outputs/debug_reports\test_idx_976_dias7.png
1298,2.3123579405562316,1008.3432761888419,1075.9315232539627,-1,-1,1,66985.32482853136,outputs/debug_reports\test_idx_1298_dias7.png
1351,7.908207984249742,4081.9368974458694,4262.163312107306,1,-1,0,106497.35719546789,outputs/debug_reports\test_idx_1351_dias7.png
880,1.6357361974323532,341.13070009866925,482.0266443747965,1,-1,0,16154.31588764339,outputs/debug_reports\test_idx_880_dias7.png
897,2.1629706219364664,359.015508350053,376.70684614271244,-1,-1,1,17109.455751454876,outputs/debug_reports\test_idx_897_dias7.png
306,1.467723406388316,845.4038101128701,984.7072801227368,1,-1,0,303350.2917951859,outputs/debug_reports\test_idx_306_dias7.png
526,1.2072400680150406,793.9650264440903,1148.0886983573716,-1,-1,1,364473.62675275345,outputs/debug_reports\test_idx_526_dias7.png
476,8.942911772077135,3805.2002832603507,4023.4750901747107,1,-1,0,133684.3390479965,outputs/debug_reports\test_idx_476_dias7.png
890,20.96200592305824,3516.1178603318117,3593.368264537162,-1,-1,1,21544.169812292435,outputs/debug_reports\test_idx_890_dias7.png
1348,10.869193099199295,5447.487719488463,5809.446724425814,1,-1,0,73370.50970074467,outputs/debug_reports\test_idx_1348_dias7.png
883,2.4978827380248583,523.3764932961219,646.2674353790464,1,-1,0,19161.025751717032,outputs/debug_reports\test_idx_883_dias7.png
1637,3.3573040344782306,3210.408790213854,3532.758269232787,-1,-1,1,3591083.711502384,outputs/debug_reports\test_idx_1637_dias7.png
702,9.994473054944063,3267.3250604028412,3917.422926522583,-1,-1,1,63847.279094023,outputs/debug_reports\test_idx_702_dias7.png
535,2.768303928892185,1578.540973388457,1886.3743497333585,-1,-1,1,414515.6027833701,outputs/debug_reports\test_idx_535_dias7.png
203,5.2962160472125275,1352.2823978632239,1839.145430918789,1,-1,0,17725.224390024603,outputs/debug_reports\test_idx_203_dias7.png
1093,1.6616797954237565,439.60225320976366,615.8122504706645,-1,-1,1,21463.13735857647,outputs/debug_reports\test_idx_1093_dias7.png
1784,10.724384827241028,10028.09473920587,11094.48991995152,1,-1,0,1692842.0073015832,outputs/debug_reports\test_idx_1784_dias7.png
379,7.985410852030782,2767.081864565079,3370.227271218235,-1,-1,1,37336.3501068504,outputs/debug_reports\test_idx_379_dias7.png
1423,2.263813495786549,1421.35479083471,1622.972338018112,-1,-1,1,508942.96100735373,outputs/debug_reports\test_idx_1423_dias7.png
973,1.2829208461712145,299.48209011002734,336.5547145248644,1,-1,0,15364.972104159837,outputs/debug_reports\test_idx_973_dias7.png
343,13.311566845926261,6468.913106403713,7270.732586846213,-1,-1,1,281714.9864664337,outputs/debug_reports\test_idx_343_dias7.png
213,13.249515923005962,4449.230215357088,5147.369862799315,1,-1,0,15491.316173690197,outputs/debug_reports\test_idx_213_dias7.png
846,2.774515672908718,537.3333779018332,595.2664903790003,1,-1,0,18666.67982077601,outputs/debug_reports\test_idx_846_dias7.png
1699,3.552191460770806,3674.492412114651,4404.67062495356,-1,-1,1,4733576.210714295,outputs/debug_reports\test_idx_1699_dias7.png
1118,1.3269339649962384,404.72463262294383,459.9569992211515,-1,-1,1,21229.04705071922,outputs/debug_reports\test_idx_1118_dias7.png
408,3.6578874953021145,1130.0667771709652,1316.4684893404688,-1,-1,1,48818.32781877074,outputs/debug_reports\test_idx_408_dias7.png
289,3.00662415744443,1744.6425183151982,1995.3851284850628,-1,-1,1,297618.07169182866,outputs/debug_reports\test_idx_289_dias7.png
389,4.059502520506762,1372.3236341415238,1538.9674353375817,1,-1,0,27266.98020741098,outputs/debug_reports\test_idx_389_dias7.png
1566,4.2084892313610105,2613.360436050088,3327.919074029055,1,-1,0,254310.1935024291,outputs/debug_reports\test_idx_1566_dias7.png
491,11.977499440258944,6586.980127440233,6864.09809069129,1,-1,0,114403.95766069647,outputs/debug_reports\test_idx_491_dias7.png
458,4.790788701320921,2442.146324559913,3014.315668945982,-1,-1,1,108102.5957363631,outputs/debug_reports\test_idx_458_dias7.png
1818,4.137152223001573,4447.773199793492,4754.823930703225,-1,-1,1,6167064.435088751,outputs/debug_reports\test_idx_1818_dias7.png
243,6.642197824539166,2453.74662268521,3097.41890874198,1,-1,0,23524.795471109217,outputs/debug_reports\test_idx_243_dias7.png
797,4.751690184482694,1144.28072688699,1291.5700239437115,1,-1,0,19315.646067622383,outputs/debug_reports\test_idx_797_dias7.png
1081,0.8319270687846818,223.52319941450125,262.48235710265516,-1,-1,1,22132.36303236738,outputs/debug_reports\test_idx_1081_dias7.png
1374,7.669332502516321,5361.944305411141,6024.943579260642,1,-1,0,532101.2958032127,outputs/debug_reports\test_idx_1374_dias7.png
1176,1.491666025242315,390.17996718375645,427.6501178815554,-1,-1,1,24847.66428700334,outputs/debug_reports\test_idx_1176_dias7.png
743,15.909059433569182,3257.2132323035003,3383.5101725401287,-1,-1,1,116332.18695345582,outputs/debug_reports\test_idx_743_dias7.png
1161,2.4568669072201366,724.4022713012564,794.6650624878748,1,-1,0,29067.57733121714,outputs/debug_reports\test_idx_1161_dias7.png
275,5.987876350771894,3128.3386076679453,3929.4138597949745,1,-1,0,112051.96109140934,outputs/debug_reports\test_idx_275_dias7.png
1774,6.811706820494624,5727.37630827246,6185.876587391564,1,-1,0,1099427.6368145281,outputs/debug_reports\test_idx_1774_dias7.png
824,2.541850603269843,514.5225606193495,799.7467941853772,1,-1,0,17948.618129864484,outputs/debug_reports\test_idx_824_dias7.png
903,2.486929032654903,406.53750728430015,429.1507554103225,1,-1,0,19233.389254214362,outputs/debug_reports\test_idx_903_dias7.png
1268,2.1326211694210877,791.824425767708,856.2117242395905,1,-1,0,45819.49092664114,outputs/debug_reports\test_idx_1268_dias7.png
1189,1.527934662585656,396.91509211286603,465.2157839489957,-1,-1,1,26452.86174834222,outputs/debug_reports\test_idx_1189_dias7.png
623,4.063347681872791,1686.2884089213662,1867.1158019119819,-1,-1,1,85952.26195446447,outputs/debug_reports\test_idx_623_dias7.png
1447,5.490625858007272,3809.5599690830068,4267.7323665878785,1,-1,0,467222.899006108,outputs/debug_reports\test_idx_1447_dias7.png
1508,5.106768349150929,3418.8616157595866,3758.9126061196894,1,-1,0,466250.1981253503,outputs/debug_reports\test_idx_1508_dias7.png
1279,10.725737544598983,4626.033133992526,5041.6045430665845,1,-1,0,46752.608459508636,outputs/debug_reports\test_idx_1279_dias7.png
1356,1.058351265843666,548.8057900425047,653.0874139328948,-1,-1,1,164197.58030555616,outputs/debug_reports\test_idx_1356_dias7.png
845,2.081045850692543,402.58810493210484,470.2202242219808,1,-1,0,14944.49581626109,outputs/debug_reports\test_idx_845_dias7.png
225,3.184898079998818,1155.975467116572,1644.2291322805115,1,-1,0,124981.58226115606,outputs/debug_reports\test_idx_225_dias7.png
1015,17.999493784118588,4722.165582297124,4975.8180127378,1,-1,0,10762.043609429425,outputs/debug_reports\test_idx_1015_dias7.png
1775,7.850647954941328,6618.018607887307,6769.612934555421,1,-1,0,1306155.8879629946,outputs/debug_reports\test_idx_1775_dias7.png
1523,9.56931800873584,5409.020611547998,6101.782206001295,1,-1,0,496541.95950868074,outputs/debug_reports\test_idx_1523_dias7.png
1250,2.330047173184399,836.5223764610544,1118.95392293211,1,-1,0,43179.62825579378,outputs/debug_reports\test_idx_1250_dias7.png
1089,4.196180708116099,1154.950530236524,1275.6532691325212,1,-1,0,26778.81253038442,outputs/debug_reports\test_idx_1089_dias7.png
1602,1.3544585654760442,917.5657892734079,1163.6356529929863,-1,-1,1,588015.9418804686,outputs/debug_reports\test_idx_1602_dias7.png
1302,0.7373925922532191,316.13787547219545,378.3652717722283,-1,-1,1,100717.44832179896,outputs/debug_reports\test_idx_1302_dias7.png
1507,4.539068664774924,3049.2564254025265,3630.760756390945,1,-1,0,385931.7540020595,outputs/debug_reports\test_idx_1507_dias7.png
1565,6.10668368941495,3728.201596910134,4139.158186320527,1,-1,0,263225.75275272125,outputs/debug_reports\test_idx_1565_dias7.png
1421,2.003028788213426,1308.4686788610582,1514.9424576093913,-1,-1,1,452527.1809941525,outputs/debug_reports\test_idx_1421_dias7.png
1195,2.0267960906967817,531.868087579266,689.1389839479822,1,-1,0,23134.54479000559,outputs/debug_reports\test_idx_1195_dias7.png
1266,3.5213318810296808,1320.0088539481428,1420.9756431761919,1,-1,0,49560.10779710697,outputs/debug_reports\test_idx_1266_dias7.png
1569,8.290767761911217,5221.597020868079,5481.201210091492,1,-1,0,344756.699917443,outputs/debug_reports\test_idx_1569_dias7.png
1059,4.565086112864578,1327.8227014471147,1402.1118456504062,1,-1,0,20708.9258125799,outputs/debug_reports\test_idx_1059_dias7.png
967,2.30875350907151,537.2925832553327,644.4618539228296,1,-1,0,17116.867122444182,outputs/debug_reports\test_idx_967_dias7.png
1244,3.028133483025926,1056.5065932438843,1190.5324765105897,1,-1,0,43096.276452048776,outputs/debug_reports\test_idx_1244_dias7.png
265,11.100707029616157,5337.168816834289,5902.011266987102,-1,-1,1,182798.2167214627,outputs/debug_reports\test_idx_265_dias7.png
1744,7.56107664257135,6310.76073333182,6581.435813127119,1,-1,0,1557519.0470766418,outputs/debug_reports\test_idx_1744_dias7.png
1521,8.444220472007311,4835.281196986059,5807.682802205051,-1,-1,1,587070.3691812159,outputs/debug_reports\test_idx_1521_dias7.png
571,3.020305566604865,1473.9361249534413,1522.1445818855539,-1,-1,1,111872.91970195874,outputs/debug_reports\test_idx_571_dias7.png
1686,8.651726424149702,8791.681517287823,10409.798361746849,1,-1,0,2846886.4164743614,outputs/debug_reports\test_idx_1686_dias7.png
369,4.995008340639673,1720.4728183879383,2213.1320953920685,1,-1,0,69036.05589629749,outputs/debug_reports\test_idx_369_dias7.png
1197,3.260441048479188,859.609187813445,939.4992565469443,1,-1,0,23859.400378491173,outputs/debug_reports\test_idx_1197_dias7.png
1547,5.61576462338659,3310.806482195854,3492.9983635060016,-1,-1,1,429210.5711878526,outputs/debug_reports\test_idx_1547_dias7.png
736,8.867867885104735,2221.4139614196,3282.124814367361,-1,-1,1,20839.32225865086,outputs/debug_reports\test_idx_736_dias7.png
548,7.457891216354713,3754.4391616979347,4527.562003406636,-1,-1,1,268348.5089190018,outputs/debug_reports\test_idx_548_dias7.png
885,7.1535047652609025,1298.5918760941802,1725.2094216425269,-1,-1,1,20640.45492040207,outputs/debug_reports\test_idx_885_dias7.png
890,20.96200592305824,3516.1178603318117,3593.368264537162,-1,-1,1,21544.169812292435,outputs/debug_reports\test_idx_890_dias7.png
1335,5.3983627861092245,2314.2297875541926,2400.066891160713,1,-1,0,51239.381867116965,outputs/debug_reports\test_idx_1335_dias7.png
1001,1.7851581018702347,408.3030185011609,445.8406515879844,-1,-1,1,18993.243932710677,outputs/debug_reports\test_idx_1001_dias7.png
350,18.185937489490826,6860.649229746312,7383.20743833011,-1,-1,1,161204.78642522395,outputs/debug_reports\test_idx_350_dias7.png
1680,2.2778344156378525,2209.034901100344,2719.7519194658275,-1,-1,1,3534754.419592851,outputs/debug_reports\test_idx_1680_dias7.png
1135,1.8899790336463458,580.855023993715,685.8227710445098,-1,-1,1,28887.030897585915,outputs/debug_reports\test_idx_1135_dias7.png
993,1.5785809938015694,372.7969724974646,502.3142844484511,-1,-1,1,16518.347184331975,outputs/debug_reports\test_idx_993_dias7.png
1373,5.1594471624358045,3574.6178740372084,4342.090571915668,1,-1,0,370568.51050101046,outputs/debug_reports\test_idx_1373_dias7.png
1794,5.356308497782393,5135.742367234081,5556.047311649757,1,-1,0,2923626.357684591,outputs/debug_reports\test_idx_1794_dias7.png
888,15.354010978437813,2606.5477247758677,3112.322424514818,-1,-1,1,13510.398498209359,outputs/debug_reports\test_idx_888_dias7.png
233,9.389670071876646,3013.0412805444294,3270.1256894812727,-1,-1,1,49925.26321045058,outputs/debug_reports\test_idx_233_dias7.png
587,3.831401905783125,1652.0716488586206,1890.61257962759,1,-1,0,92921.6250048716,outputs/debug_reports\test_idx_587_dias7.png
1400,2.4104938230868656,1609.093722522791,2170.536202031671,-1,-1,1,658425.3052133856,outputs/debug_reports\test_idx_1400_dias7.png
380,12.475894233360894,4249.838527431978,4757.424856159943,-1,-1,1,48473.73310839934,outputs/debug_reports\test_idx_380_dias7.png
1486,2.606785689944543,1624.1785828990064,2114.388950956701,1,-1,0,381480.33760438144,outputs/debug_reports\test_idx_1486_dias7.png
944,3.112295729703915,524.6926765788337,581.8139778190425,1,-1,0,16641.504356116584,outputs/debug_reports\test_idx_944_dias7.png
226,6.65162985373198,2473.8992520063516,2639.040110032626,-1,-1,1,111192.4465064661,outputs/debug_reports\test_idx_226_dias7.png
920,3.978417585952644,696.2745318328333,803.6195801843007,1,-1,0,17599.775172409634,outputs/debug_reports\test_idx_920_dias7.png
669,1.8958168401822815,846.3160436415512,1058.4062451376744,-1,-1,1,143199.32954411264,outputs/debug_reports\test_idx_669_dias7.png
1030,3.641051875970897,1027.8684842680673,1114.1382551499237,1,-1,0,30401.28314281835,outputs/debug_reports\test_idx_1030_dias7.png
